"population_group","region","s1","s2","s3","s4","s5","education_severity_phase"
"idp","awdal",0.397435897435897,0.397435897435897,0.205128205128205,0,0,3
"hc","awdal",0.285714285714286,0.371772805507745,0.332185886402754,0.0103270223752151,0,3
"idp","bakool",0.0606060606060606,0.478787878787879,0.393939393939394,0.0666666666666667,0,3
"hc","bakool",0.150375939849624,0.507518796992481,0.327067669172932,0.0150375939849624,0,3
"idp","banadir",0.0947630922693267,0.28428927680798,0.553615960099751,0.0673316708229426,0,3
"hc","banadir",0.317307692307692,0.295673076923077,0.331730769230769,0.0552884615384615,0,3
"idp","bari",0.154696132596685,0.259668508287293,0.558011049723757,0.0276243093922652,0,3
"hc","bari",0.422138836772983,0.337711069418386,0.221388367729831,0.0187617260787993,0,3
"idp","bay",0.151898734177215,0.481012658227848,0.329113924050633,0.0379746835443038,0,3
"hc","bay",0.241379310344828,0.310344827586207,0.421455938697318,0.0268199233716475,0,3
"idp","galgaduud",0.235772357723577,0.341463414634146,0.317073170731707,0.0894308943089431,0.016260162601626,3
"hc","galgaduud",0.316614420062696,0.407523510971787,0.22884012539185,0.0470219435736677,0,3
"idp","gedo",0.0897435897435897,0.461538461538462,0.378205128205128,0.0705128205128205,0,3
"hc","gedo",0.207243460764588,0.51307847082495,0.265593561368209,0.0140845070422535,0,3
"idp","hiraan",0.207547169811321,0.415094339622641,0.358490566037736,0.0188679245283019,0,3
"hc","hiraan",0.260162601626016,0.422764227642276,0.292682926829268,0.024390243902439,0,3
"idp","lower_juba",0.150684931506849,0.486301369863014,0.335616438356164,0.0273972602739726,0,3
"hc","lower_juba",0.216931216931217,0.486772486772487,0.264550264550265,0.0317460317460317,0,3
"idp","lower_shabelle",0.0598802395209581,0.425149700598802,0.497005988023952,0.0179640718562874,0,3
"hc","lower_shabelle",0.261538461538462,0.318681318681319,0.406593406593407,0.0131868131868132,0,3
"idp","middle_shabelle",0.324324324324324,0.459459459459459,0.216216216216216,0,0,3
"hc","middle_shabelle",0.28476821192053,0.350993377483444,0.317880794701987,0.0463576158940397,0,3
"idp","mudug",0.181518151815182,0.366336633663366,0.412541254125413,0.0396039603960396,0,3
"hc","mudug",0.346723044397463,0.40169133192389,0.238900634249471,0.0126849894291755,0,3
"idp","nugaal",0.126436781609195,0.327586206896552,0.471264367816092,0.0747126436781609,0,3
"hc","nugaal",0.430555555555556,0.230555555555556,0.319444444444444,0.0194444444444444,0,3
"idp","sanaag",0.17687074829932,0.231292517006803,0.578231292517007,0.0136054421768707,0,3
"hc","sanaag",0.363855421686747,0.371084337349398,0.260240963855422,0.00481927710843374,0,3
"idp","sool",0.159090909090909,0.322727272727273,0.477272727272727,0.0409090909090909,0,3
"hc","sool",0.425093632958801,0.284644194756554,0.279026217228464,0.0112359550561798,0,3
"idp","togdheer",0.271028037383178,0.373831775700935,0.345794392523364,0.00934579439252336,0,3
"hc","togdheer",0.424628450106157,0.326963906581741,0.239915074309979,0.00849256900212314,0,3
"idp","woqooyi_galbeed",0.371951219512195,0.310975609756098,0.280487804878049,0.0365853658536585,0,3
"hc","woqooyi_galbeed",0.464373464373464,0.2997542997543,0.228501228501229,0.00737100737100737,0,3
