"region","hc","idp"
"awdal",0.484536082474227,0.474358974358974
"bakool",0.674157303370786,0.880952380952381
"banadir",0.27511961722488,0.396039603960396
"bari",0.299625468164794,0.348066298342541
"bay",0.647509578544061,0.658227848101266
"galgaduud",0.616822429906542,0.554655870445344
"gedo",0.730923694779116,0.769230769230769
"hiraan",0.463414634146341,0.471698113207547
"lower_juba",0.724867724867725,0.712328767123288
"lower_shabelle",0.498901098901099,0.51497005988024
"middle_shabelle",0.443708609271523,0.243243243243243
"mudug",0.320675105485232,0.653465346534653
"nugaal",0.316666666666667,0.528735632183908
"sanaag",0.492788461538462,0.609271523178808
"sool",0.429906542056075,0.645454545454545
"togdheer",0.408898305084746,0.511627906976744
"woqooyi_galbeed",0.28009828009828,0.357575757575758
